modelo,accuracy,precision,recall,f1_score,roc_auc
Gradient Boosting Optimizado,0.8269,0.6571600723036755,0.484166913287955,0.5575530374030843,0.8679465016987773
Gradient Boosting,0.8265333333333333,0.6533149171270718,0.4899378514353359,0.5599526467106376,0.8676220910349484
Random Forest,0.8243666666666667,0.6587758583919813,0.4570878958271678,0.5397047261291168,0.8613414006274267
Logistic Regression,0.7882,0.5209456656988801,0.7434152116010654,0.6126082185099379,0.859065197127212
KNN,0.8055,0.6070020867145838,0.3873927197395679,0.47294733989702825,0.7854927549367402
Decision Tree,0.7573333333333333,0.46183094472067854,0.46729801716484165,0.4645483965872315,0.6544819833694443
Dummy Classifier,0.7747333333333334,0.0,0.0,0.0,0.5
